63,Roop-Tera-Mastana,3.41,2183746,USERS:[],,,,
64,Ek-Do-Teen,7.3,3128471,USERS:[],,,,
65,Choli-Ke-Peeche,4.58,2764831,USERS:[],,,,
66,Tip-Tip-Barsa-Paani,5.47,3457281,USERS:[],,,,
67,Chura-Ke-Dil-Mera,5.2,2983741,USERS:[],,,,
68,Dil-To-Pagal-Hai,5.38,2674832,USERS:[],,,,
69,Tujhe-Dekha-To,5.02,3548291,USERS:[],,,,
70,Mehndi-Laga-Ke-Rakhna,4.51,2389472,USERS:[],,,,
71,Bole-Chudiyan,6.5,3984721,USERS:[],,,,
72,Say-Shava-Shava,6.07,2874639,USERS:[],,,,
73,Suraj-Hua-Maddham,7.08,3764839,USERS:[],,,,
74,Maahi-Ve,6.06,2547381,USERS:[],,,,
75,Its-The-Time-To-Disco,5.35,1983741,USERS:[],,,,
76,Where-Is-The-Party-Tonight,6.21,2764837,USERS:[],,,,
77,Desi-Girl,5.06,7183746,USERS:[],,,,
78,Sheila-Ki-Jawani,4.43,3472819,USERS:[],,,,
79,Munni-Badnaam-Hui,5.07,3298472,USERS:[],,,,
80,Kajra-Re,8.02,4567381,USERS:[],,,,
81,Beedi,5.01,2389471,USERS:[],,,,
82,Namak-Ishq-Ka,6.13,1983742,USERS:[],,,,
83,Aankh-Marey,3.32,2764839,USERS:[],,,,
84,Dil-Cheez-Tujhe-Dedi,4.31,2193847,USERS:[],,,,
85,Swag-Se-Swagat,3.55,2983741,USERS:[],,,,
86,Heeriye,3.14,1874639,USERS:[],,,,
87,Kaise-Hua,3.54,2147381,USERS:[],,,,
88,Makhna,3.03,1764839,USERS:[],,,,
89,Proper-Patola,2.58,1657382,USERS:[],,,,
90,High-Rated-Gabru,3.34,2438291,USERS:[],,,,
91,Lahore,3.1,2193846,USERS:[],,,,
92,Naah,3.1,1874638,USERS:[],,,,
93,Kya-Baat-Ay,2.57,1547382,USERS:[],,,,
94,Pachtaoge,4.46,2389476,USERS:[],,,,
95,Filhall,4.15,1983741,USERS:[],,,,
96,Qismat,3.55,2147391,USERS:[],,,,
97,Sakhiyaan,3.05,1764832,USERS:[],,,,
98,Lehanga,3.25,1657381,USERS:[],,,,
99,8-Parche,3.33,1874631,USERS:[],,,,
100,Brown-Munde,4.27,3298476,USERS:[],,,,
101,Excuses,2.56,2483741,USERS:[],,,,
102,Players,2.5,2193841,USERS:[],,,,
103,Mi-Amor,3.3,1983746,USERS:[],,,,
104,Love-Me-Like-You-Do,13.3,5238471,USERS:[],,,,
105,abcd,7.2,0,USERS:-[]106,main-tumhara,2.54,0,USERS:-[]
106,pyaar-bhejona,4.12,0,USERS:-[],,,,
107,bewafa,4.12,0,USERS:-[],,,,
108,blue-eyes,5.26,0,USERS:-[],,,,
109,Bairan,3.0,0,USERS:-[]
